Model,Segment,Text
OnePlus 6T,Physical Form,"We're all going to mourn the consumer-unfriendly loss of the headphone jack. Yes, this is becoming a mainstream thing now, but no, I don't know anyone who likes it. OnePlus said that getting rid of the jack let it get the fingerprint scanner into its place, along with a larger 3,700mAh battery."
OnePlus 6T,Physical Form,"As with previous phones, the 6T has neither wireless charging nor is it waterproof. Wireless charging, I can take or leave wireless charging, but OnePlus should really get on board with waterproofing phones like everyone else is doing."
OnePlus 6T,Physical Form,"Unboxing the phone is unusually delightful. There are a lot of little surprises. I don't usually see phones come with a ""handwritten"" letter from the CEO in the box, or with a case. The 6T also comes with a special Dash Charger and a USB-C-to-3.5mm dongle. Only a pair of USB-C headphones would have made the experience perfect; those sell for $20 extra."
OnePlus 6T,Fingerprint Sensor,"The blockbuster feature here, of course, is the in-display optical fingerprint sensor, the first we've seen on a US phone. OnePlus said it's not using the same technology as Vivo did in its NEX S—although the sensor is still optical rather than infrared, it's faster than the Vivo's with a 0.35-second capture time."
OnePlus 6T,Fingerprint Sensor,"The in-display fingerprint sensor isn't actually connected to making the notch smaller, as it would be on an iPhone. Much of the iPhone's notch size comes from its infrared structured-light sensor, used for Face ID. An in-display fingerprint sensor, the thinking goes, would let Apple get rid of that camera and shrink its notch. But the OnePlus 6's notch was just the front-facing camera and proximity sensor, which have been squeezed into the smaller 6T notch. In this case, the fingerprint sensor just lets OnePlus say that it's on the cutting edge—as well as letting you wake up the phone with your fingerprint without flipping it over."
OnePlus 6T,Fingerprint Sensor,"When you wake up the phone, either by tapping on it or twisting it, a green fingerprint appears on the screen. That's the sensor area. You have to press the pad of your finger onto the zone, and keep it there for a little bit of time. Wet thumbs don't work, and the sensor feels more finicky than a physical sensor because it doesn't have the physical lip to guide your finger; it's easier to mis-press the sensor or press it off-center, resulting in a failed authentication."
OnePlus 6T,Fingerprint Sensor,"Here's the thing, though: The sensor gets better with time. According to OnePlus, it learns as you press it more and more often, and becomes more accurate."
OnePlus 6T,Fingerprint Sensor,"The phone also has face unlock, which helps speed things up further. With both of them turned on, the fingerprint sensor becomes more for making purchases and authenticating accounts, situations where you're more likely to be doing a thoughtful, deliberate press on the sensor anyway."
OnePlus 6T,Networking and Call Quality,"The 6T, like the OnePlus 6, supports gigabit LTE on all of AT&T's, T-Mobile's, and Verizon's frequency bands (It actually includes all of Sprint's bands as well, but it won't authenticate onto Sprint's network). The phone's Qualcomm X20 modem is tuned for Cat 16, gigabit speeds, as opposed to the 1.2Gbps Cat 18 speeds in the Samsung Galaxy Note 9. The phone supports 5x carrier aggregation and 4x4 MIMO, state-of-the-art features that will have more of an effect on the quality of an average day's reception than peak speeds will (The main difference between Cat 16 and Cat 18 is whether 4x4 MIMO can be applied to two or three bands of spectrum at once)."
OnePlus 6T,Networking and Call Quality,"The phone is certified on Verizon's network, and should work with Verizon after a call to tech support. From what I understand, OnePlus doesn't intend to sell a lot of phones to Verizon consumers—it's using the 6T as a way to learn about Verizon's certification processes, with the intent to try to get a 5G phone sold by the carrier next year."
OnePlus 6T,Networking and Call Quality,"I decided to test the unlocked, dual-SIM OnePlus 6T on T-Mobile-based virtual carrier Ting. Ting's setup process went decently, although I hit a roadblock when I had to input arcane APN settings myself, something that doesn't happen with larger carriers."
OnePlus 6T,Networking and Call Quality,"I'm testing the 6T's signal reception now, but I think it will be on par with other Snapdragon 845-based devices—in other words, good. Other networking stats are state of the art, of course. There's 802.11a/b/g/n/ac Wi-Fi, Bluetooth 5, GPS, and NFC."
OnePlus 6T,Networking and Call Quality,"Using Ting over T-Mobile's network in Manhattan, I got very good speeds on the 6T. They weren't quite up to those of the Pixel using a T-Mobile SIM, but they were plenty good enough. The 6T on Ting scored between 49 to 62Mbps in a good signal location in Midtown and 10Mbps in a difficult signal location, where the Pixel on T-Mobile got 64 to 80Mbps and 17Mbps respectively."
OnePlus 6T,Networking and Call Quality,"Call quality is rock-solid. The 6T, like other Snapdragon 845-based devices, supports the EVS codec for the highest possible voice quality on T-Mobile and Verizon. The earpiece gets quite loud without distorting. The phone supports voice-over-LTE on T-Mobile and Verizon, but not AT&T, because AT&T reserves that feature for its branded phones."
OnePlus 6T,Networking and Call Quality,"The 6T has a single, bottom-ported speaker, unlike the dual speakers on more expensive competitors like the Pixel 3 XL and Galaxy Note 9. Unsurprisingly, it sounds tinnier, but it's perfectly loud and good enough for conference calls."
OnePlus 6T,Software and Performance,"The OnePlus 6T runs Android 9.0 Pie with OnePlus' simple, tasteful OxygenOS extensions. OnePlus has been pretty good with Android updates; it's promising Android 9 for phones all the way back to the OnePlus 3, so you should expect to get Android 10 and even Android 11 on this device eventually."
OnePlus 6T,Software and Performance,"OxygenOS doesn't have an always-on display mode; it shows the time and notifications when you move the phone or tap the screen, to save battery. Other good, hidden touches include an ""app locker"" to put specific apps behind a password, and ""parallel apps"" to let you spawn multiple social media identities for apps that don't typically allow them."
OnePlus 6T,Software and Performance,"The software modifications are tuned for speed, and the 6T benchmarks better than any phone other than the Pixels or the souped-up Razer Phone 2. We got 8651 on PCMark, as compared with 9191 on the Pixel 3 XL, but 7947 on the LG V40 and 7662 on the Samsung Galaxy Note 9. Graphics feel extra snappy because of the 1080p screen. Like other 1080p Snapdragon 845-based phones, the 6T got 31fps on the GFXBench Car Chase onscreen benchmark; phones with 2K screens tend to get 20 to 22fps."
OnePlus 6T,Software and Performance,"I hate comparing speeds here with phones which cost $300 more. So what else is around $550 at T-Mobile? Well, the LG G7 ThinQ and the Samsung Galaxy S8 both cost $600. The Galaxy S8 gets 6905 on PCMark and 12fps in that onscreen graphics benchmark. The G7 gets 7983 and 22fps. The OnePlus 6T is significantly faster than any other phone in its price bracket."
OnePlus 6T,Software and Performance,"8GB of RAM is a lot more than you get on other $600 phones—both the LG G7 and Galaxy S8 have 4GB—and that means multitasking is richer and more responsive, especially if you're switching between games and other apps."
OnePlus 6T,Software and Performance,"The 6T's 3,700mAh battery powers the huge screen for a decent amount of time—8 hours, 31 minutes in our test. The battery test results are shorter than the Galaxy Note 9's 12-plus hours, but longer than the latest iPhones. The 6T can be fast-charged using OnePlus' proprietary 20W Dash Charge adapter, but only with that adapter."
OnePlus 6T,The Camera: Good Enough,"The Google Pixel 3 has the best smartphone camera around. But the OnePlus 6T's camera is also very good, and the 6T costs a lot less. That's the theme, right?"
OnePlus 6T,The Camera: Good Enough,"The 6T has a 16-megapixel f/2 front-facing camera, along with 16-megapixel and 20-megapixel f/1.7 rear-facing cameras. Unfortunately, the dual rear-facing cameras aren't used for zoom or wide angle like they are on the iPhone XS or the LG V40; they're just combined to make better images."
OnePlus 6T,The Camera: Good Enough,"The images themselves are very good, but not the best. I compared them with a Pixel 3 and an iPhone XR. Outdoors or in good light, the OnePlus does a little bit more sharpening than the Pixel does. That means better-defined brickwork, for instance, but some slightly visible artifacts when photographing clouds."
OnePlus 6T,The Camera: Good Enough,"In indoor light, the 6T's slightly sharper images are actually more pleasing to me—there's a threshold around the level of living-room-at-night light where the Pixel begins to fuzz out a bit with noise, but OnePlus images remain clear. In very low light, the Pixel's intense focus on computational photography comes to the fore, and delivers richer colors than the OnePlus (The Pixel's lead will likely extend with its upcoming Night Sight feature). I judged the XR's photos to be the worst of the three in low light."
OnePlus 6T,The Camera: Good Enough,"While the 6T's front-facing camera isn't bad by any means, both the Pixel and the iPhone deliver slightly warmer skin tones. The Pixel's front-facing camera also does much better than the 6T's in low light, with the OnePlus camera sometimes getting very noisy as it struggled to keep up."
OnePlus 6T,The Camera: Good Enough,"The camera does hardware bokeh with the main camera, and software bokeh with the front camera. It has a night mode, which I didn't find to make a huge difference. It records 4K videos at up to 60 frames per second, and has super-slow-mo at up to 480 frames per second."
OnePlus 6T,The Camera: Good Enough,"I love the look of Pixel camera photos. But in testing I was never worried the OnePlus was letting me down. It's very much a question of what's good enough, and the 6T is definitely good enough."
OnePlus 6T,Conclusions,"The OnePlus 6T is the best value for the money in the US phone market today. It's easily comparable with the $799, 128GB iPhone XR; the $999, 128GB Google Pixel 3 XL; and other phones in the $900 to $1,000 range. But it starts at only $549, and even less with T-Mobile's trade-in deal."
OnePlus 6T,Conclusions,"The phone delivers slightly less performance than the Pixel 3 all around, that's true. But the Pixel 3 costs at least $300 more, a huge price difference for a few more features. Of course, it's not worth upgrading from the OnePlus 6. The OnePlus 6 is six months old. But there's a big leap forward in speed and camera quality from the OnePlus 5 and older phones, that's for sure."
OnePlus 6T,Conclusions,"Now that the OnePlus 6T is being sold by T-Mobile and it's compatible with Verizon, it's the best buy around. It's fast, functional, and a great value. That makes it our Editors' Choice."
OnePlus 7 Pro,Introduction,"With the OnePlus 7 Pro ($669), this cult smartphone maker continues its trajectory as a swiftly rising flagship killer. Not only is this the fastest Android phone we've ever tested, it's also loaded with a gorgeous, notchless screen, cool hardware, and smart software features that outpace even the Samsung Galaxy S10+. If you're looking for a big, powerful Android phone (especially if you're with T-Mobile), the OnePlus 7 Pro is an obvious pick, and our Editors' Choice."
OnePlus 7 Pro,Models and Pricing,"There are three different versions of the OnePlus 7 Pro: 6GB of RAM and 128GB of storage for $669, 8/256 for $699, and 12/256 for $749 (the latter two sold by T-Mobile). The phone comes in blue or gray versions. There will be two other models of the OnePlus 7 series, but the 7 Pro is the only one we'll see here in the US. The regular OnePlus 7 is for more price-sensitive countries (the company is very popular in India) and the OnePlus 7 5G is for countries with 3.5GHz 5G networks (which we don't have here)."
OnePlus 7 Pro,Physical Form Factor and Screen,"At 6.4 by 3 by 0.34 inches (HWD) and 7.26 ounces, this is a big phone. It's not actually larger than, say, a Galaxy Note, but anyone who's read my reviews knows I'm an aficionado of smaller models because I can spend hours a day standing up holding a subway pole with one hand while trying to use my phone with the other. This phone feels large and a bit slippery to grip, but your mileage obviously may vary."
OnePlus 7 Pro,Physical Form Factor and Screen,"From the front, the phone almost looks like a Samsung with its curved OLED screen, until you realize there's no notch, just a lot of screen. The selfie camera pops up from a little cutout on the top of the phone, so even that doesn't take up space where screen could go. There's also a ribbed mute switch that has appeared on OnePlus phones for years. There's still no headphone jack or microSD slot, if those things matter to you (though OnePlus separately sells the excellent $19.99 Type-C Bullets)."
OnePlus 7 Pro,Physical Form Factor and Screen,"Our 7 Pro is a shimmery blue color. The phone's glass back is slightly slippery, with a smooth, cool feeling to it, and scratches easily. The phone comes with a clear case in the box, which you should apply as soon as you get it. The case also makes the body much grippier."
OnePlus 7 Pro,Physical Form Factor and Screen,"OnePlus keeps trying to ride a line where it makes its phones sort-of-waterproof, but it doesn't pay for IP certification. I dunked and washed the phone, rather than soaking it for an extended period of time. Some condensation appeared inside the pop-up selfie camera, and the microphone was messed up for about an hour, but after a few hours, the phone was perfectly fine."
OnePlus 7 Pro,Physical Form Factor and Screen,"The 6.67-inch, 3,120-by-1,440 resolution screen is a Samsung OLED panel tuned to OnePlus's specifications, and it's even comparable with the Galaxy's (and far better than, say, the Google Pixel 3's). I tested the screen's colors and brightness with a Klein K-80 colorimeter and Portrait Displays' CalMAN and MobileForge software. As you can see, the OnePlus 7's colors are just about the same as the Galaxy S10+'s (and they're more accurate than the OnePlus 6T's). At 411cd/m2 in ""vivid"" mode and 402cd/m2 in ""natural,"" it's close to the Galaxy S10's maximum brightness of 435cd/m2."
OnePlus 7 Pro,Physical Form Factor and Screen,"The chart below shows the OnePlus 7 Pro's color levels as dots and DCI-P3 color levels as boxes in both Natural and Vivid modes, alongside the color performance of the OnePlus 6T and Samsung Galaxy S10+. All phones have slightly cool whites, but the 7 Pro demonstrates particularly admirable, accurate performance in Vivid mode."
OnePlus 7 Pro,Physical Form Factor and Screen,"The big innovation here is the 90Hz refresh rate. In its standard UI, the OnePlus 7 displays 1.5 frames for every one frame most other phones do, resulting in what appears to be smoother scrolling. Whether you can perceive this depends on what you're used to. Our analyst Chris Stobing, a big PC gamer who uses high-refresh-rate gaming monitors, noticed it instantly; it took me a lot longer to see it. Over time, the high refresh rate should mean less eyestrain."
OnePlus 7 Pro,Physical Form Factor and Screen,"Higher refresh rate scrolling takes more battery power, but the OnePlus 7 deals with this intelligently by reducing the refresh rate if you're watching lower-frame-rate content, like 30fps videos. It actually isn't clear to me (and OnePlus couldn't help) if the 90Hz applies outside the general UI. Our GFXBenchmark graphics benchmark topped out at displaying 60 frames per second, which may be a limit in the Android APIs. I know Razer, which also sells a high-frame-rate phone, had to write special extensions to get games to run at higher frame rates."
OnePlus 7 Pro,Physical Form Factor and Screen,"I'd dare say the in-display fingerprint sensor is the best one on the market. While it's optical and not ultrasonic, it seems to have a slightly larger target area than Samsung's sensor does (it's 36 percent bigger than the one on the OnePlus 6T), and it is very fast to recognize my fingers. Your fingertip still has to be dry and clean; a wet finger reduces recognition to about 80 percent reliability, and putting food on my finger (like guacamole or peanut butter) renders the sensor useless and slightly gross."
OnePlus 7 Pro,Software and Benchmarks,"The OnePlus 7 runs Android 9 with OnePlus's Oxygen OS extensions on a Qualcomm Snapdragon 855 chipset, the same one that's in the Galaxy S10 line and the LG G8. That said, it benchmarked the best of any Android phone we've ever seen, because of OnePlus's focus on software speed. I got 9,828 on PCMark and 481.94 on the Basemark Web benchmark compared with 9,547 and 406.84 on the Galaxy S10."
OnePlus 7 Pro,Software and Benchmarks,"The use of UFS 3.0 internal storage here definitely helps. The OnePlus got 12,889 on the PCMark Storage benchmark, compared with 9,099 on the Galaxy S10 and 10,152 on the OnePlus 6T. That may also explain why the OnePlus got ever-so-slightly higher scores than the Galaxy phones on Geekbench."
OnePlus 7 Pro,Software and Benchmarks,"OnePlus says the phone has a special cooling system, which lets it run at top speed for extended periods of time. After 10 minutes using a processor-slamming app, the 7 Pro was running at 92% of top processing potential, as compared with the Galaxy S10e at 90 percent. I wouldn't consider that a noticeable difference."
OnePlus 7 Pro,Software and Benchmarks,"OnePlus' Oxygen OS remains, alongside Motorola's approach, the smartest and smoothest Android skin out there. It adds useful features like the ability to load two Facebook or Instagram accounts at the same time without becoming sluggish."
OnePlus 7 Pro,Software and Benchmarks,"One new innovation, Zen Mode, enhances Google's ""digital wellness"" features by essentially locking your phone for 20 minutes at a time. During that period, you can receive phone calls, make emergency calls, and use the camera, but that's it. You can't even turn it off during those 20 minutes. Is it wrong that I kind of like it?"
OnePlus 7 Pro,Software and Benchmarks,"OnePlus says that the phone will get updates for the next two versions of Android, and maybe beyond that. The OnePlus 3, a three-year-old phone, got an update to Android 9."
OnePlus 7 Pro,Wireless and Battery,"The OnePlus 7 Pro is compatible with T-Mobile, Verizon, and AT&T, but is only sold by T-Mobile on the carrier end. It has all the frequency bands for Sprint, but hasn't been certified and so won't attach to that network. The T-Mobile-sold versions will work with that carrier's VoLTE and Wi-Fi calling systems, and with Verizon's VoLTE system (but not Wi-Fi calling). AT&T doesn't allow unlocked phones into its VoLTE or Wi-Fi calling systems. Also, while the unlocked 7 Pro has dual SIM card slots, the T-Mobile model doesn't."
OnePlus 7 Pro,Wireless and Battery,"As with previous OnePlus phones, it's one notch lower in terms of modem capabilities than its Snapdragon X24 modem allows: Category 18 with 5-carrier aggregation, rather than Category 20 with 7-carrier aggregation like the Galaxy S10. That said, I don't think that's going to make a big difference in the US, where attaching to more than five bands of spectrum at once is rare enough to be practically unheard of. The OnePlus 7 Pro has 4x4 MIMO on bands 2, 4, 7, and 66. That makes it ideal for T-Mobile, Verizon, and Canadian carriers, but less so for AT&T, where I would like to see 4x4 on Band 30."
OnePlus 7 Pro,Wireless and Battery,"I gave the OnePlus 7 Pro the full signal testing routine, with our usual help from Cellular Insights. Focusing on T-Mobile's primary frequency bands, I compared the phone with a bunch of other top phones on LTE Band 4 (used primarily in cities) and to the Samsung Galaxy S10 on LTE Band 12 (used more in suburban and rural areas)."
OnePlus 7 Pro,Wireless and Battery,"The 7 Pro did very well with a weak Band 4 signal, roundly beating the Galaxy S10 and generally staying on par with the LG V40, the phone we rated as having the best signal strength available last year. With a strong Band 4 signal, the 7 Pro generally got speeds higher than an iPhone XS Max and OnePlus 6T, although in some situations not quite up to the level of the LG V40. In both Band 4 situations, the OnePlus 7 Pro generally beat the Samsung Galaxy S10."
OnePlus 7 Pro,Wireless and Battery,"The S10 did a bit better on Band 12, however. There, the Samsung tracked consistently a notch faster than the OnePlus 7 Pro, including being able to pull out a tiny bit more of signal out at the end."
OnePlus 7 Pro,Wireless and Battery,"The real takeaway here is that the OnePlus 7 Pro handles LTE, at least on the T-Mobile network, like a world-beating flagship smartphone, and it'll give you a great 4G experience."
OnePlus 7 Pro,Wireless and Battery,"Rohde & Schwarz, the global leader in test and measurement equipment, provided Cellular Insights with the cutting-edge CMWFlexx solution consisting of two CMW500 Wideband Communication Tester boxes, CMWC Controller, and R&S TS7124 RF shielded box equipped with four Vivaldi antennas for up to 4_4 MIMO, ensuring high reproducibility of near-field OTA MIMO measurements. The study was done independently by Cellular Insights and shared with PCMag."
OnePlus 7 Pro,Wireless and Battery,"For other wireless standards, the OnePlus 7 Pro has Bluetooth 5.0 with AptX HD, dual-band Wi-Fi 802.11ac, and NFC. Once again, it's not bleeding edge; unlike the Galaxy S10, there's no attempt to build an early 802.11ax client here. But just like with the LTE situation, OnePlus decided that there aren't a lot of 802.11ax networks out there yet, so it wasn't worth the extra expense to push the boundaries."
OnePlus 7 Pro,"Call Quality, Battery, and Charging","With a device at this level, good call quality should be a given. It's fine on here; I have no complaints except when the microphone had water in it. The phone has dual stereo speakers, with the earpiece under the screen. Volume is good, with a maximum of 96dB on our test right up against the earpiece, and 86dB (3dB louder than the Galaxy S10) for the speakerphone at a 6-inch distance. The speaker sounds a little tinny; the Galaxy seems to have more depth."
OnePlus 7 Pro,"Call Quality, Battery, and Charging","With a large 4,000 mAh battery, the 7 Pro takes a long time to drain. I got 11 hours, 37 minutes in my rundown test. In ordinary use, the phone would comfortably last two days, definitely outpacing my smaller Galaxy S10e, which I've needed to charge late in the day when I've been using it."
OnePlus 7 Pro,"Call Quality, Battery, and Charging","OnePlus CEO Pete Lau has repeatedly belittled wireless charging, and true to form, this phone doesn't have it. What it does have is a gigantic 30W charger, which can power the phone very quickly. I went from zero to 35 percent in 15 minutes, 62 percent in 30 minutes, and 95 percent in an hour. That said, this is a proprietary charging system and so it won't refuel the phone at these speeds with, say, USB-C PD chargers or Qualcomm fast chargers."
OnePlus 7 Pro,Cameras,"OnePlus is a sibling company to Oppo and Vivo, major Chinese smartphone makers who don't sell products in the US, and it can borrow some of their innovative ideas that would never be seen in this country otherwise. The OnePlus 7 Pro features America's first pop-up selfie camera, originally introduced with the Vivo Nex S in China. The phone's 48-megapixel Sony camera sensor has also appeared on Oppo and Vivo phones in China, but it hasn't been seen here until the 7 Pro."
OnePlus 7 Pro,Cameras,"The front-facing, pop-up camera is a Sony 16MP IMX471 sensor with 1080p video recording. It's fine. The most interesting aspect of it, of course, is that it pops up: When you do something that demands a selfie, including waking up the phone with facial ID activated, the little motor whirs and the camera appears. When you switch away from your application, the camera retracts."
OnePlus 7 Pro,Cameras,"Obviously, the first question will be: Can you break it? The camera protects itself from drops by retracting when it senses the accelerometer. I tested by dropping it from waist-height several times, and it retracted before it hit the floor. On the other hand, if you bang the extended camera against a table, you will probably break it. That's the price to pay for having no notch."
OnePlus 7 Pro,Cameras,"On the back, there's the 48-megapixel Sony IMX586 sensor with an f/1.6 lens, an 8-megapixel sensor with a 3x telephoto lens, and a 16-megapixel sensor with a 117-degree wide-angle lens. The camera usually defaults to 12-megapixel images with 4-pixel binning for better low-light performance, but you can kick it into 48MP mode (or RAW) in the camera app's ""pro"" mode. The main camera also records 4K video at up to 60fps, and does slow-mo down to 480fps at 720p."
OnePlus 7 Pro,Cameras,"That's a lot of options, and it adds up to a camera that specializes in cropping and zooming."
OnePlus 7 Pro,Cameras,"Low-light performance here is specifically tuned to balance out images with a lot of dynamic range, as opposed to taking pictures in very low light. That means an outdoor image with a streetlight in it will have fewer halos, like this one of the grocery store below. But a photo taken in very low light, like the one of the bookshelf below, will be much noisier."
OnePlus 7 Pro,Cameras,"We saw similar issues in low light with the Huawei P30 Pro. Notice how the colors are more saturated and the mural of the girl is sharper in the Huawei photo, but the OnePlus image does well with the lower right hand corner of the frame where the light is blaring."
OnePlus 7 Pro,Cameras,Colors on the OnePlus camera also seem to be a bit less saturated than those on the the Galaxy S10's.
OnePlus 7 Pro,Cameras,"The camera software is clearly a moving target, though. During our review period, the camera received a software update which made photos taken in good light look sharper. Before the update, shots were noticeably fuzzy compared with either the S10 or Huawei; after it, they were about on par with the S10, albeit with less-saturated colors."
OnePlus 7 Pro,Cameras,"The combination of a 48MP main lens and a 8MP sensor with a 3x zoom lens offers an unusual set of options. The 48MP mode really messes with dynamic range, so it isn't for amateurs like myself. As you can see here, in ordinary daylight, the 48MP image (at right) tends to be both blown out and shadowy."
OnePlus 7 Pro,Cameras,"The 3x-zoom camera makes zoom shots dramatically sharper than they are without an optical zoom, of course, and much sharper than you would get by digitally zooming the 48MP image. Here's what the 3x zoom and 48MP modes look zoomed to 8x:"
OnePlus 7 Pro,Cameras,"As a bad photographer, I can say this: This camera is fun. The different lenses, various modes, and easy-to-use ""pro"" mode give you a lot to play with, and that can balance out the slightly less-than-ideal low-light performance."
OnePlus 7 Pro,Conclusions,"If you're in the market for a big, new phone, it's impossible to find better value than the OnePlus 7 Pro. The gorgeous screen, killer speed, and notchless design make for a powerful, luxurious smartphone experience. And you really won't be bothered by the minor differences in low-light camera quality, considering you have all those different lenses to play with."
OnePlus 7 Pro,Conclusions,"OnePlus cuts a few corners here, but does so strategically by making them features that aren't a big deal in the larger scheme of the phone's value, including bleeding-edge wireless standards and durable back paint. It instead pours attention into dramatic, visible features, like the notchless screen and all those rear cameras. To boot, the phone is priced $300 lower than the competing Galaxy S10+ and the iPhone XS Max."
OnePlus 7 Pro,Conclusions,"Along with other flagships, it's worth comparing this with the brand-new, $479 Google Pixel 3a XL. We haven't tested that phone yet, but from its specs, it seems like a lot less phone than the OnePlus 7 Pro. The Pixel 3a XL is slower, lacks zoom or wide-angle cameras, and has a lower-resolution screen, less RAM, and bigger bezels. The Pixel 3a XL will be enough phone for many people, to be sure, but it isn't in the OnePlus 7 Pro's league."
OnePlus 7 Pro,Conclusions,"OnePlus owners love their phones: The manufacturer won our Reader's Choice award this year for having the most passionate fans. It's clear why: OnePlus delivers the best performance per dollar of any Android phone around. Unless you (like me) need a smaller phone, the OnePlus 7 is the best phone to buy on T-Mobile right now and our Editors' Choice."
OnePlus 7 (for China),Introduction,"Over the past several years, OnePlus has slowly built a loyal following worldwide. While its competitive pricing has played a large role in the company's growth, it would be shortsighted to say its focus on aesthetics, quality hardware, and thoughtful software haven't played a big part in it becoming a household name. The company's latest phone, the OnePlus 7 Pro (3,999 yuan, approximately $576), pushes the envelope further with more refined hardware and software than ever, a pop-up selfie camera, and an improved AMOLED display. It offers flagship performance for much less than you'll pay for an Apple or Samsung phone, and earns our Editors' Choice for high-end handsets for China."
OnePlus 7 (for China),"Design, Display, and Audio","Before we get started, if you're looking for a review of the US model of the OnePlus 7 Pro, you can find that here. This is a review of the Chinese version."
OnePlus 7 (for China),"Design, Display, and Audio","For the most part, the OnePlus 7 Pro follows the traditional flagship aesthetic, in that it's essentially a glass sandwich around an aluminum frame. It measures 6.4 by 3.0 by 0.3 inches (HWD) and comes in at a hefty 7.3 ounces. It's available in black, blue, or gold. Our black test unit quickly became a fingerprint magnet, but you'll probably want to invest in a good case since it doesn't offer any formal drop protection or water resistance, though OnePlus says the phone is mildly resistant to splashes."
OnePlus 7 (for China),"Design, Display, and Audio","The front of the phone is dominated by a 6.67-inch curved AMOLED display with almost nonexistent bezels. Instead of adding a camera notch like so many other phones do these days, the OnePlus 7 Pro has a pop-up selfie camera. Display resolution comes in at 3,120 by 1,440, with 516 pixels per inch. It's absolutely gorgeous display for streaming multimedia, and features a 90Hz refresh rate for smoother gaming and scrolling speeds."
OnePlus 7 (for China),"Design, Display, and Audio","Of all the Chinese phones we've tested (and most US phones), the OnePlus 7 Pro's in-display fingerprint sensor is the most consistent and easy to use. It worked without issue nearly every time we used the phone over a period of several weeks."
OnePlus 7 (for China),"Design, Display, and Audio","When it comes to audio, the OnePlus 7 Pro is a bit of a letdown. For calls, the earpiece is loud enough to hold a conversation on a busy street, coming in at 88dB. But while the phone sports Dolby Atmos-powered stereo speakers that come in at 93dB, the sound is tinny at higher volumes. And for private listening, you need to use Bluetooth headphones as there's no 3.5mm headphone jack."
OnePlus 7 (for China),Cameras,"On the back of the OnePlus 7 Pro you'll find a triple camera stack, including a 48MP wide-angle lens with a f/1.6 aperture and optical image stabilization (OIS), an 8MP telephoto lens with 3x zoom and OIS with a narrow f/2.4 aperture, and a 16MP ultra-wide-angle lens with an f/2.2 aperture."
OnePlus 7 (for China),Cameras,"For the most part, the phone takes solid photos in bright light. In our camera tests we noticed reds and yellows are slightly undersaturated, and there's some minor background blurring. Low-light photos are pretty good as well, though background blurring is more significant and there's a tinge of noise on the edges of a few of our photos. And wide-angle photos have a tendency to look a bit soft. Overall, images are absolutely fine for the average shutterbug and sharing on social media, but if you're looking for the best smartphone camera on the market, you'll want to opt for the Huawei P30 Pro."
OnePlus 7 (for China),Cameras,"The 16MP front-facing pop-up camera has an f/2.0 aperture. Bright-light photos are good, with some minor foreground blurring. Low-light photos are also surprisingly solid, though background noise was present in several of our test shots. And if you're worried about the pop-up camera snapping off during an accidental drop, fear not: If a drop is detected, the camera quickly retracts back into the body of the phone."
OnePlus 7 (for China),Hardware and Benchmarks,"For the price, the OnePlus 7 Pro ships with some impressive hardware. It sports a top-of-the-line Qualcomm Snapdragon 855 processor along with 6GB of RAM standard, as well as 8GB and 12GB options. If you opt for the 6GB version there's 128GB of storage onboard, while the 8GB and 12GB versions come with 256GB of storage. None have a microSD slot."
OnePlus 7 (for China),Hardware and Benchmarks,Performance is excellent. Apps opened instantaneously and we had no problem multitasking between a dozen apps at the same time. We even managed to play Asphalt 8 for over an hour with no skipped frames or freezing.
OnePlus 7 (for China),Hardware and Benchmarks,"In our benchmark tests, the OnePlus 7 Pro blows away the competition. It scored 9,874 on PCMark, a benchmarking suite that emulates everyday smartphone tasks. On the Ludashi (LDS) benchmark it was equally impressive, scoring 359,913 and falling only behind the Vivo IQOO (387,303) and the ZTE Axon Pro 10 5G (412,288). CPU performance came in at 115,281, while GPU performance came in at 150,401. RAM clocked in at 42,768 and the storage score was a solid 51,463. Overall it's a strong performer that should easily keep chugging along for a few years."
OnePlus 7 (for China),Hardware and Benchmarks,"In addition to regular performance benchmarks, the OnePlus 7 Pro is well equipped to handle AI tasks. In AI Benchmark, a suite of tests that require the phone to identify different objects, people, and locations, it scored 25,258. That's slightly behind the ZTE Axon 10 Pro (27,274), though the OnePlus 7 Pro had a lower error rate overall."
OnePlus 7 (for China),Hardware and Benchmarks,"The phone is powered by a 4,000mAh battery. With the display set to 90MHz, the phone lasted 10 hours, 48 minutes in our rundown test, streaming video at full brightness over Wi-Fi. More conservative use should easily get you two days between charges. If you do find yourself running low on juice, a 30W Warp Charge adapter is included in the box that can add hours of battery life to the phone in minutes."
OnePlus 7 (for China),Software and Special Features,"Since phones sold in China aren't allowed to use Google Services or the Play store, each handset manufacturer creates its own highly modified take on Android with a custom app store and apps. In many cases this leads to messy software full of bloatware. Fortunately, that's not the case on the OnePlus 7 Pro; in fact, it's the most elegant UI we've seen on a Chinese phone."
OnePlus 7 (for China),Software and Special Features,"The OnePlus 7 Pro ships with Android 9.0 Pie, running the HydrogenOS extension. Apps are well organized on the home screen, and while it sports the traditional navigation bar by default, you can easily switch to OnePlus' elegant navigation gestures in the phone's settings."
OnePlus 7 (for China),Software and Special Features,"The interface is elegant and minimal, but it also allows lots of customizations. You can adjust the screen refresh rate, customize the display color, and even set up apps in Reading mode, which switches the screen to a grayscale that's easier on the eyes."
